symbol,train_start,train_end,test_start,test_end,param_id,score,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,train_ending_equity,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,train_num_trades,train_avg_return_per_trade,train_win_rate,train_profit_factor,train_expectancy_dollars
SPY,2021-04-19,2022-04-14,2022-04-18,2022-07-18,10,0.46670599958248943,20,50,EMA,14,1.0,3.0,5,0.75,103160.28189813059,0.03160281898130579,0.03160281898130579,0.02869678440605741,0.40432470820168376,-0.013680472439388969,5,0.005303707809571128,0.6,2.5269090501305627,662.0830393319268
SPY,2021-07-19,2022-07-18,2022-07-19,2022-10-14,9,-0.43723061771300564,20,50,EMA,14,1.0,2.0,5,0.9,101256.21874108887,0.01256218741088877,0.01256218741088877,0.016476341492086172,-0.45142379409189354,-0.008351669306226106,1,0.009085362305719274,1.0,,1286.1104451660156
SPY,2021-10-15,2022-10-14,2022-10-17,2023-01-17,0,-0.30668824267073824,20,50,SMA,14,1.0,2.0,5,0.75,101179.7034128662,0.011797034128661954,0.011797034128661954,0.02415475808633979,-0.339600415041087,-0.011945378775928717,3,0.007839674375814072,0.6666666666666666,3.742040409602423,406.09463616129557
SPY,2022-01-14,2023-01-17,2023-01-18,2023-04-18,0,-0.30668824267073824,20,50,SMA,14,1.0,2.0,5,0.75,101179.7034128662,0.011797034128661954,0.011797034128661954,0.02415475808633979,-0.339600415041087,-0.011945378775928717,3,0.007839674375814072,0.6666666666666666,3.742040409602423,406.09463616129557
SPY,2022-04-18,2023-04-18,2023-04-19,2023-07-19,0,-0.41897388303118105,20,50,SMA,14,1.0,2.0,5,0.75,100633.8211781263,0.006338211781262926,0.006338211781262926,0.028646988591176443,-0.47690137395261994,-0.02096645987677015,6,0.002529910392520478,0.6666666666666666,1.487113923447722,120.32514488343783
SPY,2022-07-19,2023-07-19,2023-07-20,2023-10-17,2,-0.31861886245259513,20,50,SMA,14,1.0,3.0,5,0.75,100814.29513433705,0.008142951343370619,0.008142951343370619,0.03030617100644799,-0.3912420560851008,-0.045793128156718654,8,0.0003745291273815842,0.5,1.2907255949950844,120.97392859633209
SPY,2022-10-17,2023-10-17,2023-10-18,2024-01-18,2,-0.31861886245259513,20,50,SMA,14,1.0,3.0,5,0.75,100814.29513433705,0.008142951343370619,0.008142951343370619,0.03030617100644799,-0.3912420560851008,-0.045793128156718654,8,0.0003745291273815842,0.5,1.2907255949950844,120.97392859633209
SPY,2023-01-18,2024-01-18,2024-01-19,2024-04-18,2,1.1611242697289572,20,50,SMA,14,1.0,3.0,5,0.75,106238.85399220015,0.06238853992200144,0.06238853992200144,0.04085177314589943,1.037618116859054,-0.030752468364389385,12,0.004762369968517034,0.5833333333333334,2.4202982972801483,543.2967132161814
SPY,2023-04-19,2024-04-18,2024-04-19,2024-07-19,10,1.0393287161832354,20,50,EMA,14,1.0,3.0,5,0.75,106264.1407673737,0.06264140767373694,0.06264140767373694,0.046426300655834904,0.918475240787416,-0.041868913764196214,17,0.003570967460039763,0.5294117647058824,1.9374167272189953,392.9163091310385
SPY,2023-07-20,2024-07-19,2024-07-22,2024-10-17,3,0.8345380021981349,20,50,SMA,14,1.0,3.0,5,0.9,104714.19485339354,0.047141948533935274,0.047141948533935274,0.03788933421901852,0.7163479932648538,-0.02152386133474593,10,0.004537168732991625,0.6,2.114445006101803,496.44814347900376
SPY,2023-10-18,2024-10-17,2024-10-18,2025-01-21,11,0.40185297693552036,20,50,EMA,14,1.0,3.0,5,0.9,103003.71756142926,0.030037175614292755,0.030037175614292755,0.03434761541517488,0.292223360864181,-0.021555886943227853,10,0.0026906839829580914,0.6,1.7438044840861329,324.6615835025459
SPY,2024-01-19,2025-01-21,2025-01-22,2025-04-22,0,0.9139859606937795,20,50,SMA,14,1.0,2.0,5,0.75,103858.96897314802,0.03858968973148014,0.03858968973148014,0.022199721814613244,0.8373839044795256,-0.010771154605944688,6,0.006248945907802152,0.8333333333333334,4.68824242080959,666.465346295748
SPY,2024-04-19,2025-04-22,2025-04-23,2025-07-23,8,0.9139859606937795,20,50,EMA,14,1.0,2.0,5,0.75,103858.96897314802,0.03858968973148014,0.03858968973148014,0.022199721814613244,0.8373839044795256,-0.010771154605944688,6,0.006248945907802152,0.8333333333333334,4.68824242080959,666.465346295748
SPY,2024-07-22,2025-07-23,2025-07-24,2025-10-21,17,1.1496325413831705,55,50,SMA,14,1.0,2.0,5,0.9,104523.03875383301,0.0452303875383302,0.0452303875383302,0.023378446715007873,1.0792157342999809,-0.008793546743902536,5,0.00886269597980044,1.0,,926.994516003418
SPY,2024-10-18,2025-10-21,2025-10-22,2026-01-22,17,0.408784560689692,55,50,SMA,14,1.0,2.0,5,0.9,102986.36621274242,0.029863662127424195,0.029863662127424195,0.030810540731305493,0.32013920863784384,-0.025145916047455863,8,0.004081304257769793,0.75,2.451450678957789,399.0250889936184
