symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
XLK,2021-04-19,2022-04-14,2022-04-18,2022-07-18,15,20,50,EMA,14,1.5,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
XLK,2021-07-19,2022-07-18,2022-07-19,2022-10-14,8,20,50,EMA,14,1.0,2.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
XLK,2021-10-15,2022-10-14,2022-10-17,2023-01-17,0,20,50,SMA,14,1.0,2.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
XLK,2022-01-14,2023-01-17,2023-01-18,2023-04-18,0,20,50,SMA,14,1.0,2.0,5,0.75,100083.36319493102,0.0008336319493102984,0.0033386997683897413,0.02052006940585717,-0.8119514560147892,-0.009174243190443132,1,0.001953304512999883,1.0,,96.57674472808837
XLK,2022-04-18,2023-04-18,2023-04-19,2023-07-19,0,20,50,SMA,14,1.0,2.0,5,0.75,100891.47560234985,0.008074393002210245,0.03269085686022821,0.021489032277973365,0.5905736794502637,-0.002348078632617545,1,0.010619511377249207,1.0,,828.0930985794067
XLK,2022-07-19,2023-07-19,2023-07-20,2023-10-17,2,20,50,SMA,14,1.0,3.0,5,0.75,100891.47560234985,0.0,0.0,0.0,,0.0,0,,,,
XLK,2022-10-17,2023-10-17,2023-10-18,2024-01-18,18,55,50,SMA,14,1.0,3.0,5,0.75,100891.47560234985,0.0,0.0,0.0,,0.0,0,,,,
XLK,2023-01-18,2024-01-18,2024-01-19,2024-04-18,18,55,50,SMA,14,1.0,3.0,5,0.75,100891.47560234985,0.0,0.0,0.0,,0.0,0,,,,
XLK,2023-04-19,2024-04-18,2024-04-19,2024-07-19,10,20,50,EMA,14,1.0,3.0,5,0.75,102776.76517373428,0.0186863118031404,0.07686653804536436,0.03641376387414936,1.5616770142713732,-0.010468411378401377,2,0.013581173672449482,0.5,2.7927974502068547,959.6197075160977
XLK,2023-07-20,2024-07-19,2024-07-22,2024-10-17,18,55,50,SMA,14,1.0,3.0,5,0.75,102863.94707537613,0.0008482646977112651,0.0033973785508327747,0.03565467822791932,-0.4656505758665515,-0.01469740057866098,1,0.0015216123994178292,1.0,,103.80612920532226
XLK,2023-10-18,2024-10-17,2024-10-18,2025-01-21,10,20,50,EMA,14,1.0,3.0,5,0.75,102863.94707537613,0.0,0.0,0.0,,0.0,0,,,,
XLK,2024-01-19,2025-01-21,2025-01-22,2025-04-22,18,55,50,SMA,14,1.0,3.0,5,0.75,102863.94707537613,0.0,0.0,0.0,,0.0,0,,,,
XLK,2024-04-19,2025-04-22,2025-04-23,2025-07-23,10,20,50,EMA,14,1.0,3.0,5,0.75,103633.9180764366,0.007485334006250621,0.030279198135299223,0.04434923365118508,0.23177848384364466,-0.01809049554493236,5,0.0031008180373739585,0.6,1.7422198199540286,171.91124118041884
XLK,2024-07-22,2025-07-23,2025-07-24,2025-10-21,0,20,50,SMA,14,1.0,2.0,5,0.75,102544.53834961144,-0.010511806820057479,-0.04138887271266445,0.018957451007465053,-3.2382450936305087,-0.010511806820057479,1,-0.013994205835808642,0.0,0.0,-1071.432214953829
XLK,2024-10-18,2025-10-21,2025-10-22,2026-01-22,5,20,50,SMA,14,1.5,2.0,5,0.9,102544.53834961144,0.0,0.0,0.0,,0.0,0,,,,
